date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:09:40	197/197	---M-Z	200	added ('OK')	text/plain	date:Mon,%2010%20Mar%202025%2010:09:32%20GMT	https://pxdraft.com/robots.txt		(from )
11:09:46	75002/75002	---M-Z	200	added ('OK')	text/html	etag:%22124fa-67b1c204-81ada7b7dd8c3304;gz%22	https://pxdraft.com/wrap/pinory/	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/index.html	(from )
11:09:48	1150/1150	---M-Z	200	added ('OK')	image/x-icon	etag:%2247e-67b1c204-2cd710415c50db83;gz%22	https://pxdraft.com/wrap/pinory/favicon.ico	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/favicon.ico	(from https://pxdraft.com/wrap/pinory/)
11:09:49	26322/26322	---M-Z	200	added ('OK')	text/css	etag:%2266d2-67b1c204-35a6d7298ca09f2;gz%22	https://pxdraft.com/wrap/pinory/assets/css/style.css	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/css/style.css	(from https://pxdraft.com/wrap/pinory/)
11:09:50	2242/2242	---M-Z	200	added ('OK')	image/svg+xml	etag:%228c2-67b1c204-82e1ee6dc7bf0754;gz%22	https://pxdraft.com/wrap/pinory/assets/img/logo-light.svg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/logo-light.svg	(from https://pxdraft.com/wrap/pinory/)
11:09:51	2242/2242	---M-Z	200	added ('OK')	image/svg+xml	etag:%228c2-67b1c204-745d9d1e9684e3c;gz%22	https://pxdraft.com/wrap/pinory/assets/img/logo.svg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/logo.svg	(from https://pxdraft.com/wrap/pinory/)
11:09:52	65248/65248	---M--	200	added ('OK')	image/jpeg	etag:%22fee0-67b1c204-bc716556c06c2798;;;%22	https://pxdraft.com/wrap/pinory/assets/img/home-banner.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/home-banner.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:52	62288/62288	---M--	200	added ('OK')	image/jpeg	etag:%22f350-67b1c204-a15ae93d22630b27;;;%22	https://pxdraft.com/wrap/pinory/assets/img/about.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/about.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:54	68369/68369	---M--	200	added ('OK')	image/jpeg	etag:%2210b11-67b1c204-377f26db3dbfadf4;;;%22	https://pxdraft.com/wrap/pinory/assets/img/project-1.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/project-1.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:54	36378/36378	---M--	200	added ('OK')	image/jpeg	etag:%228e1a-67b1c204-28c5271bd57cbfe8;;;%22	https://pxdraft.com/wrap/pinory/assets/img/project-2.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/project-2.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:54	46749/46749	---M--	200	added ('OK')	image/jpeg	etag:%22b69d-67b1c204-daf57cf590daa5ef;;;%22	https://pxdraft.com/wrap/pinory/assets/img/project-3.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/project-3.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:54	50639/50639	---M--	200	added ('OK')	image/jpeg	etag:%22c5cf-67b1c204-2500d608e8643c6d;;;%22	https://pxdraft.com/wrap/pinory/assets/img/project-4.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/project-4.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:55	38731/38731	---M--	200	added ('OK')	image/jpeg	etag:%22974b-67b1c204-d81c51be48abdcca;;;%22	https://pxdraft.com/wrap/pinory/assets/img/project-5.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/project-5.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:56	58585/58585	---M--	200	added ('OK')	image/jpeg	etag:%22e4d9-67b1c204-2d33d91bb017d44a;;;%22	https://pxdraft.com/wrap/pinory/assets/img/project-6.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/project-6.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:56	12182/12182	---M--	200	added ('OK')	image/jpeg	etag:%222f96-67b1c204-446b464b9ae9feea;;;%22	https://pxdraft.com/wrap/pinory/assets/img/avatar-1.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/avatar-1.jpg	(from https://pxdraft.com/wrap/pinory/)
11:09:56	10646/10646	---M--	200	added ('OK')	image/jpeg	etag:%222996-67b1c204-5c8fd1aaa507a157;;;%22	https://pxdraft.com/wrap/pinory/assets/img/avatar-2.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/avatar-2.jpg	(from https://pxdraft.com/wrap/pinory/)
11:10:00	12796/12796	---M--	200	added ('OK')	image/jpeg	etag:%2231fc-67b1c204-5fe26c3951e779c;;;%22	https://pxdraft.com/wrap/pinory/assets/img/avatar-3.jpg	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/img/avatar-3.jpg	(from https://pxdraft.com/wrap/pinory/)
11:10:01	4228/4228	---M-Z	200	added ('OK')	application/x-javascript	etag:%221084-67b1c204-b72096f2ec830321;gz%22	https://pxdraft.com/wrap/pinory/assets/vendor/appear/jquery.appear.js	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/vendor/appear/jquery.appear.js	(from https://pxdraft.com/wrap/pinory/)
11:10:03	80721/80721	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213b51-67b1c204-b6efcad9698ff5bc;gz%22	https://pxdraft.com/wrap/pinory/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/NCDMB%20EDTECH%20LAPTOPS/Desktop/ABEL/Abel.portfolio/pxdraft.com/wrap/pinory/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://pxdraft.com/wrap/pinory/)
